Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;FECD001.1.1.06.03;IRRF;21103012;
FECD;FECD001.1.1.10.23;PROVISÃO FGTS 13. SALARIO;45001026;
FECD;FECD001.1.1.04.03;MEDICAMENTOS;45005006;
FECD;GRANT002.1.1.05.01;REAGENTES;21704021;
FECD;GRANT001.1.3.01.03;(-) RETRAÇÃO;21602002;
FECD;A1.1.5.04;Desembolso passagens internacionais;21304024;
FECD;GRANT001.1.1.01.05;DESENVOLVIMENTO TECNOLÓGICO INDUSTRIAL (DTI - B);21701004;
FECD;PROJ001.1.4.01.01;PROJETOS;21401001;
FECD;PROJ002.1.1.06.03;IRRF;21506005;
FECD;GRANT001.1.1.10.01;SALÁRIOS;21701019;
FECD;TEP001.1.1.05.03;MEDICAMENTOS;21304025;
FECD;FECD001.1.4.03.016;BANCO ITAÚ C/C 99.892-8 - FUNBIO - MANGUEZAIS;35001004;
FECD;TEP001.1.1.04.06;MATERIAL DE PAPELARIA;21304015;
FECD;FECD001.1.1.05.03;MEDICAMENTOS;45005029;
FECD;TEP001.1.1.03.03;PASSAGENS P/ CAMPO;21304024;
FECD;A1.3.3.01;Bolsa Mestrado - A definir (mês);21301023;
FECD;FECD001.1.1.10.08;ABONO PECUNIARIO;45001015;
FECD;FECD001.1.4.02.030;BANCO ITAÚ C/C 99.843-1 - OCEAN RAINFOREST;35001005;
FECD;A1.2.4.02;Câmera fotográfica;21304004;
FECD;GRANT001.1.1.07.13;CORREIOS E POSTAGENS;21704019;
FECD;GRANT001.1.1.01.11;PESQUISA;21701004;
FECD;TEP001.1.1.05.05;MATERIAIS DE CONSUMO - IMPORTAÇÃO FECD;21304015;
FECD;TEP001.1.2.01.02;MAQUINAS E EQUIPAMENTOS;21304004;
FECD;PROJ002.1.4.01.02;DOAÇÕES (ADMINISTRAÇÃO);21401001;
FECD;GRANT001.1.1.04.10;COMBUSTÍVEIS;21704006;
FECD;GRANT001.1.4.01.98;ABERTURA DE SALDO;21601001;
FECD;FECD001.1.4.01.039;BANCO ITAÚ C/C 14.361-6 - TUBAROES - SALVAR;35001006;
FECD;PROJ001.1.1.01.07;AGENTE DE INOVAÇÃO;21501004;
FECD;FECD001.1.1.04.10;COMBUSTÍVEIS;45005020;
FECD;FECD001.1.4.04.002;BANCO ITAÚ C/C 12.860-9 - IMPORTAÇÃO;21104002;
FECD;FECD001.1.4.03.019;BANCO ITAÚ C/C 99.899-3 - TUBAROES - ECOSHARK;35001004;
FECD;FECD001.1.4.02.032;BANCO ITAÚ C/C 99.837-3 - LEISHMANIA PROFA. ANA PAULA;35001005;
FECD;GRANT001.1.1.01.03;DOUTORADO;21701004;
FECD;FECD001.1.1.10.16;1/3 FERIAS;45001017;
FECD;PROJ001.1.1.04.03;MEDICAMENTOS;21504025;
FECD;TEP001.1.1.01.09;FIXAÇÃO E CAPACITAÇÃO DE RECURSOS HUMANOS - FUNDOS SETORIAIS - (SET - A);21301023;
FECD;PROJ001.1.1.01.08;APOIO TÉCNICO A PESQUISA;21501004;
FECD;FECD001.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21101002;
FECD;A2.1.2.04;Desembolso - Alimentação;21304005;
FECD;PROJ001.1.4.01.03;INSCRIÇÕES;21401001;
FECD;FECD001.1.4.01.050;BANCO ITAÚ C/C 99.880-3 - CONTA AZUL RECEBA FACIL;35001006;
FECD;TEP001.1.1.01.10;PESQUISADOR SENIOR;21301023;
FECD;A1.3.2.03;Materiais de Uso e Consumo (unidades variadas);21304015;
FECD;FECD001.1.4.01.020;BANCO DO BRASIL C/C 38.375-9 - CONGRESS DIVERS;35001006;
FECD;FECD001.1.1.07.15;GRÁFICOS;45002005;
FECD;TEP001.1.1.07.05;DESPESAS DE IMPORTAÇÃO;21304018;
FECD;FECD001.1.1.10.25;PROVISÃO FGTS FERIAS;45001028;
FECD;FECD001.1.1.04.02;ANIMAIS;45005029;
FECD;TEP001.1.1.05.04;ANTICORPOS;21304025;
FECD;A2.3.3.01;Diária para saídas de campo e eventos (1 diária);21301024;
FECD;GRANT001.1.1.04.09;MATERIAL P/ COFFEE BREAK;21704005;
FECD;FECD001.1.1.07.06;SEQUENCIAMENTOS;45005029;
FECD;PROJ001.1.1.04.14;MATERIAIS PARA OBRAS E REFORMAS;21504019;
FECD;1.5.3;Material para Higiene/Limpeza;21304016;
FECD;FECD001.1.4.04.001;BANCO DO BRASIL C/C 9.266-5 - IMPORTAÇÕES;21104002;
FECD;PROJ002.1.4.01.01;PROJETOS (ADMINISTRAÇÃO);21401001;
FECD;TEP001.1.3.01.03;(-) RETRAÇÃO;21202001;
FECD;TEP001.1.1.01.08;APOIO TÉCNICO A PESQUISA;21301023;
FECD;FECD001.1.1.10.05;GRATIFICAÇÕES;45001007;
FECD;PROJ001.1.1.07.27;INSS SOBRE NF - PJ;21506005;
FECD;FECD001.1.1.07.22;INSCRIÇÕES EM CONGRESSO OU CURSOS;45005015;
FECD;1.2.4;Aluguel de Equipamentos;21304002;
FECD;FECD001.1.1.10.15;FERIAS;45001009;
FECD;GRANT001.1.1.02.03;DIÁRIAS DE CAMPO;21701005;
FECD;FECD001.1.4.01.043;BANCO ITAU C/C 15.003-3 - PRO OCEANICO;35001006;
FECD;PROJ001.1.1.01.10;PESQUISADOR SENIOR;21501004;
FECD;FECD001.1.1.07.16;ESTACIONAMENTO;45005002;
FECD;A2.1.1.01;Bolsa de Extensão - A definir (1 mês);21301023;
FECD;1.6.2;Kit educativo;21308003;
